Filename,cw_percentage,fw_percentage,COCA_Academic_Range_AW,COCA_Academic_Frequency_AW,COCA_Academic_Range_Log_AW,COCA_Academic_Frequency_Log_AW,COCA_Academic_Range_CW,COCA_Academic_Frequency_CW,COCA_Academic_Range_Log_CW,COCA_Academic_Frequency_Log_CW,COCA_Academic_Range_FW,COCA_Academic_Frequency_FW,COCA_Academic_Range_Log_FW,COCA_Academic_Frequency_Log_FW
KOR_A2_0_2.txt,0.646616541353,0.353383458647,0.987389070528,0.987389070528,0.987389070528,0.987389070528,0.980561555076,0.980561555076,0.980561555076,0.980561555076,1.0,1.0,1.0,1.0,
TWN_B2_0_1.txt,0.615556548949,0.384443451051,0.98406374502,0.98406374502,0.98406374502,0.98406374502,0.97426733381,0.97426733381,0.97426733381,0.97426733381,1.0,1.0,1.0,1.0,
TWN_B1_1_1.txt,0.612572447615,0.387427552385,0.986760812004,0.986760812004,0.986760812004,0.986760812004,0.978525411596,0.978525411596,0.978525411596,0.978525411596,1.0,1.0,1.0,1.0,
KOR_B1_2_GPT.txt,0.643454038997,0.356545961003,0.99721448468,0.99721448468,0.99721448468,0.99721448468,0.995670995671,0.995670995671,0.995670995671,0.995670995671,1.0,1.0,1.0,1.0,
KOR_A2_0_1.txt,0.629429133858,0.370570866142,0.991176470588,0.991176470588,0.991176470588,0.991176470588,0.986013986014,0.986013986014,0.986013986014,0.986013986014,1.0,1.0,1.0,1.0,
TWN_B2_0_2.txt,0.623051681706,0.376948318294,0.990608411597,0.990608411597,0.990608411597,0.990608411597,0.984967320261,0.984967320261,0.984967320261,0.984967320261,1.0,1.0,1.0,1.0,
TWN_B1_1_2.txt,0.610009442871,0.389990557129,0.984060009376,0.984060009376,0.984060009376,0.984060009376,0.973986228003,0.973986228003,0.973986228003,0.973986228003,1.0,1.0,1.0,1.0,
TWN_B1_2_GPT.txt,0.668674698795,0.331325301205,0.996987951807,0.996987951807,0.996987951807,0.996987951807,0.995495495495,0.995495495495,0.995495495495,0.995495495495,1.0,1.0,1.0,1.0,
IDN_B1_2_GPT.txt,0.65664160401,0.34335839599,0.994987468672,0.994987468672,0.994987468672,0.994987468672,0.992366412214,0.992366412214,0.992366412214,0.992366412214,1.0,1.0,1.0,1.0,
CHN_A2_0_2.txt,0.586842105263,0.413157894737,0.988621444201,0.988621444201,0.988621444201,0.988621444201,0.980640357409,0.980640357409,0.980640357409,0.980640357409,1.0,1.0,1.0,1.0,
CHN_A2_0_1.txt,0.625947391886,0.374052608114,0.988898756661,0.988898756661,0.988898756661,0.988898756661,0.982307147912,0.982307147912,0.982307147912,0.982307147912,1.0,1.0,1.0,1.0,
JPN_B2_0_GPT.txt,0.64126984127,0.35873015873,0.996825396825,0.996825396825,0.996825396825,0.996825396825,0.99504950495,0.99504950495,0.99504950495,0.99504950495,1.0,1.0,1.0,1.0,
KOR_B1_1_GPT.txt,0.632183908046,0.367816091954,0.997126436782,0.997126436782,0.997126436782,0.997126436782,0.995454545455,0.995454545455,0.995454545455,0.995454545455,1.0,1.0,1.0,1.0,
TWN_B1_2_1.txt,0.627134287033,0.372865712967,0.990817263545,0.990817263545,0.990817263545,0.990817263545,0.985401459854,0.985401459854,0.985401459854,0.985401459854,1.0,1.0,1.0,1.0,
CHN_B2_0_GPT.txt,0.65780730897,0.34219269103,0.990033222591,0.990033222591,0.990033222591,0.990033222591,0.984848484848,0.984848484848,0.984848484848,0.984848484848,1.0,1.0,1.0,1.0,
KOR_A2_0_GPT.txt,0.684210526316,0.315789473684,0.996240601504,0.996240601504,0.996240601504,0.996240601504,0.994505494505,0.994505494505,0.994505494505,0.994505494505,1.0,1.0,1.0,1.0,
TWN_B1_2_2.txt,0.617399901137,0.382600098863,0.988703339882,0.988703339882,0.988703339882,0.988703339882,0.98177496038,0.98177496038,0.98177496038,0.98177496038,1.0,1.0,1.0,1.0,
JPN_A2_0_2.txt,0.6295933366,0.3704066634,0.98641436196,0.98641436196,0.98641436196,0.98641436196,0.978544061303,0.978544061303,0.978544061303,0.978544061303,1.0,1.0,1.0,1.0,
IDN_A2_0_1.txt,0.609733270941,0.390266729059,0.992059785147,0.992059785147,0.992059785147,0.992059785147,0.986993114002,0.986993114002,0.986993114002,0.986993114002,1.0,1.0,1.0,1.0,
TWN_A2_0_GPT.txt,0.658753709199,0.341246290801,0.99703264095,0.99703264095,0.99703264095,0.99703264095,0.995495495495,0.995495495495,0.995495495495,0.995495495495,1.0,1.0,1.0,1.0,
IDN_A2_0_GPT.txt,0.656565656566,0.343434343434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
TWN_B1_1_GPT.txt,0.647058823529,0.352941176471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
JPN_A2_0_1.txt,0.619738072965,0.380261927035,0.98973880597,0.98973880597,0.98973880597,0.98973880597,0.98347107438,0.98347107438,0.98347107438,0.98347107438,1.0,1.0,1.0,1.0,
IDN_A2_0_2.txt,0.636697247706,0.363302752294,0.990380210719,0.990380210719,0.990380210719,0.990380210719,0.98490294752,0.98490294752,0.98490294752,0.98490294752,1.0,1.0,1.0,1.0,
IDN_B1_1_GPT.txt,0.670422535211,0.329577464789,0.997183098592,0.997183098592,0.997183098592,0.997183098592,0.995798319328,0.995798319328,0.995798319328,0.995798319328,1.0,1.0,1.0,1.0,
IDN_B2_0_GPT.txt,0.653409090909,0.346590909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
IDN_B1_2_2.txt,0.637352674524,0.362647325476,0.990970654628,0.990970654628,0.990970654628,0.990970654628,0.985865724382,0.985865724382,0.985865724382,0.985865724382,1.0,1.0,1.0,1.0,
JPN_B1_2_1.txt,0.62494451842,0.37505548158,0.995141342756,0.995141342756,0.995141342756,0.995141342756,0.992248062016,0.992248062016,0.992248062016,0.992248062016,1.0,1.0,1.0,1.0,
CHN_B1_1_1.txt,0.591421143847,0.408578856153,0.98961038961,0.98961038961,0.98961038961,0.98961038961,0.982443306511,0.982443306511,0.982443306511,0.982443306511,1.0,1.0,1.0,1.0,
CHN_B2_0_1.txt,0.604342581423,0.395657418577,0.983980776932,0.983980776932,0.983980776932,0.983980776932,0.973562458691,0.973562458691,0.973562458691,0.973562458691,1.0,1.0,1.0,1.0,
TWN_B2_0_GPT.txt,0.637540453074,0.362459546926,0.996763754045,0.996763754045,0.996763754045,0.996763754045,0.994923857868,0.994923857868,0.994923857868,0.994923857868,1.0,1.0,1.0,1.0,
JPN_B1_2_GPT.txt,0.671924290221,0.328075709779,0.996845425868,0.996845425868,0.996845425868,0.996845425868,0.995305164319,0.995305164319,0.995305164319,0.995305164319,1.0,1.0,1.0,1.0,
IDN_B1_2_1.txt,0.597118959108,0.402881040892,0.989391143911,0.989391143911,0.989391143911,0.989391143911,0.982321291314,0.982321291314,0.982321291314,0.982321291314,1.0,1.0,1.0,1.0,
JPN_B1_2_2.txt,0.620829576195,0.379170423805,0.98927613941,0.98927613941,0.98927613941,0.98927613941,0.982820329277,0.982820329277,0.982820329277,0.982820329277,1.0,1.0,1.0,1.0,
CHN_B1_1_2.txt,0.603344768439,0.396655231561,0.988446726573,0.988446726573,0.988446726573,0.988446726573,0.980878186969,0.980878186969,0.980878186969,0.980878186969,1.0,1.0,1.0,1.0,
CHN_B2_0_2.txt,0.620784313725,0.379215686275,0.985138834572,0.985138834572,0.985138834572,0.985138834572,0.976100628931,0.976100628931,0.976100628931,0.976100628931,1.0,1.0,1.0,1.0,
KOR_B2_0_1.txt,0.613810741688,0.386189258312,0.991966173362,0.991966173362,0.991966173362,0.991966173362,0.986977381768,0.986977381768,0.986977381768,0.986977381768,1.0,1.0,1.0,1.0,
KOR_B1_1_1.txt,0.64501953125,0.35498046875,0.989304812834,0.989304812834,0.989304812834,0.989304812834,0.983458646617,0.983458646617,0.983458646617,0.983458646617,1.0,1.0,1.0,1.0,
TWN_A2_0_2.txt,0.601530841963,0.398469158037,0.991487455197,0.991487455197,0.991487455197,0.991487455197,0.985894580549,0.985894580549,0.985894580549,0.985894580549,1.0,1.0,1.0,1.0,
CHN_B1_1_GPT.txt,0.658536585366,0.341463414634,0.996951219512,0.996951219512,0.996951219512,0.996951219512,0.99537037037,0.99537037037,0.99537037037,0.99537037037,1.0,1.0,1.0,1.0,
KOR_B2_0_2.txt,0.629095674967,0.370904325033,0.987451319775,0.987451319775,0.987451319775,0.987451319775,0.980164158687,0.980164158687,0.980164158687,0.980164158687,1.0,1.0,1.0,1.0,
KOR_B1_1_2.txt,0.644613321413,0.355386678587,0.991099243436,0.991099243436,0.991099243436,0.991099243436,0.986225895317,0.986225895317,0.986225895317,0.986225895317,1.0,1.0,1.0,1.0,
CHN_A2_0_GPT.txt,0.646884272997,0.353115727003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
KOR_B2_0_GPT.txt,0.634408602151,0.365591397849,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
TWN_A2_0_1.txt,0.629326047359,0.370673952641,0.992286751361,0.992286751361,0.992286751361,0.992286751361,0.987769784173,0.987769784173,0.987769784173,0.987769784173,1.0,1.0,1.0,1.0,
JPN_B2_0_1.txt,0.605836236934,0.394163763066,0.98747300216,0.98747300216,0.98747300216,0.98747300216,0.979432624113,0.979432624113,0.979432624113,0.979432624113,1.0,1.0,1.0,1.0,
IDN_B2_0_2.txt,0.639393939394,0.360606060606,0.980303030303,0.980303030303,0.980303030303,0.980303030303,0.969194312796,0.969194312796,0.969194312796,0.969194312796,1.0,1.0,1.0,1.0,
JPN_B1_1_1.txt,0.604338394794,0.395661605206,0.991848991849,0.991848991849,0.991848991849,0.991848991849,0.986610288936,0.986610288936,0.986610288936,0.986610288936,1.0,1.0,1.0,1.0,
JPN_B1_1_GPT.txt,0.673228346457,0.326771653543,0.996062992126,0.996062992126,0.996062992126,0.996062992126,0.994152046784,0.994152046784,0.994152046784,0.994152046784,1.0,1.0,1.0,1.0,
IDN_B1_1_2.txt,0.614968440036,0.385031559964,0.991921005386,0.991921005386,0.991921005386,0.991921005386,0.986899563319,0.986899563319,0.986899563319,0.986899563319,1.0,1.0,1.0,1.0,
CHN_B1_2_1.txt,0.605332167832,0.394667832168,0.990413943355,0.990413943355,0.990413943355,0.990413943355,0.984195402299,0.984195402299,0.984195402299,0.984195402299,1.0,1.0,1.0,1.0,
JPN_B2_0_2.txt,0.615584415584,0.384415584416,0.989233419466,0.989233419466,0.989233419466,0.989233419466,0.982566248257,0.982566248257,0.982566248257,0.982566248257,1.0,1.0,1.0,1.0,
IDN_B2_0_1.txt,0.606442577031,0.393557422969,0.99299719888,0.99299719888,0.99299719888,0.99299719888,0.988452655889,0.988452655889,0.988452655889,0.988452655889,1.0,1.0,1.0,1.0,
JPN_B1_1_2.txt,0.614649681529,0.385350318471,0.986092418125,0.986092418125,0.986092418125,0.986092418125,0.977568740955,0.977568740955,0.977568740955,0.977568740955,1.0,1.0,1.0,1.0,
IDN_B1_1_1.txt,0.61134751773,0.38865248227,0.989637305699,0.989637305699,0.989637305699,0.989637305699,0.983089930822,0.983089930822,0.983089930822,0.983089930822,1.0,1.0,1.0,1.0,
JPN_A2_0_GPT.txt,0.6632996633,0.3367003367,0.996632996633,0.996632996633,0.996632996633,0.996632996633,0.994923857868,0.994923857868,0.994923857868,0.994923857868,1.0,1.0,1.0,1.0,
CHN_B1_2_2.txt,0.613467424574,0.386532575426,0.987810187201,0.987810187201,0.987810187201,0.987810187201,0.980184005662,0.980184005662,0.980184005662,0.980184005662,1.0,1.0,1.0,1.0,
KOR_B1_2_1.txt,0.642654028436,0.357345971564,0.983034872762,0.983034872762,0.983034872762,0.983034872762,0.973684210526,0.973684210526,0.973684210526,0.973684210526,1.0,1.0,1.0,1.0,
CHN_B1_2_GPT.txt,0.669230769231,0.330769230769,0.994871794872,0.994871794872,0.994871794872,0.994871794872,0.992337164751,0.992337164751,0.992337164751,0.992337164751,1.0,1.0,1.0,1.0,
KOR_B1_2_2.txt,0.628635346756,0.371364653244,0.988,0.988,0.988,0.988,0.980985915493,0.980985915493,0.980985915493,0.980985915493,1.0,1.0,1.0,1.0,
